imagen,tipo_detectado,categoria_reciclaje,confianza
Bateria.jpg,batería,🔴 Residuo peligroso,96.77%
BotellaPlastico.jpg,plástico,🟡 Plástico,80.43%
carton.jpg,cartón,🔵 Papel / Cartón,99.96%
MANZNA-ROJA.jpg,residuo orgánico,🟢 Orgánico,93.98%
metal.jpeg,metal,🔩 Metal,57.31%
papel.jpg,papel, 🔵 Papel / Cartón,81.97%
pañal.jpeg,basura,⚫ No reciclable,71.70%
ropa.jpeg,ropa,🟣 Textil,94.43%
vidrioblanco.jpeg,vidrio blanco,⚪ Vidrio,81.62%
Vidriopg.jpg,vidrio verde,⚪ Vidrio,91.83%
zapatos.jpg,calzado,🟣 Textil,60.42%
