imagen,tipo_detectado,categoria_reciclaje,confianza
Bateria.jpg,batería,⚫ No reciclable,96.77%
BotellaPlastico.jpg,plástico,🟡 Plástico,80.43%
carton.jpg,cartón,🔵 Papel / Cartón,99.96%
MANZNA-ROJA.jpg,residuo orgánico,🟢 Orgánico,93.98%
metal.jpeg,metal,⚫ No reciclable,57.31%
papel.jpg,papel,🔵 Papel / Cartón,81.97%
pañal.jpeg,basura,⚫ No reciclable,71.70%
ropa.jpeg,ropa,⚫ No reciclable,94.43%
vidrioblanco.jpeg,vidrio blanco,⚫ No reciclable,81.62%
Vidriopg.jpg,vidrio verde,⚫ No reciclable,91.83%
zapatos.jpg,calzado,⚫ No reciclable,60.42%
